% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:40
% Dimension:          2
% Nodes:              4256
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% x                       y                        T (K) @ Ra=1             T (K) @ Ra=10            T (K) @ Ra=100           T (K) @ Ra=1000          T (K) @ Ra=10000         T (K) @ Ra=1E5           T (K) @ Ra=1E6
0.0076693196229356        0.02552188231107272      0.00766586042421915      0.007634811556969834     0.007333009140716759     0.005305809387206894     0.0045196345950181726    0.005734342509558924     0.008306256955950268
0                         0.030000000000000013     0                        0                        0                        0                        0                        0                        0
0                         0.020000000000000007     0                        0                        0                        0                        0                        0                        0
0.007654035255731745      0.015878464188420722     0.00765058270342323      0.007619593166472885     0.0073183359838452896    0.005292709397449157     0.004490403036910762     0.005631728466877053     0.007813710010416294
0                         0.010000000000000004     0                        0                        0                        0                        0                        0                        0
0                         0                        0                        0                        0                        0                        0                        0                        0
0.0068668152863041315     0.007607048862261397     0.006863717794919405     0.006835915068704859     0.006565622533830068     0.004747204632833814     0.004019281169793545     0.005012148237377376     0.00680846040014592
0.011034260205796675      0                        0.011029282858138508     0.01098460664460831      0.010550262494169358     0.007627457218431162     0.00645201515690222      0.008026330313130887     0.010812601407695957
0                         0.07                     0                        0                        0                        0                        0                        0                        0
0                         0.060000000000000026     0                        0                        0                        0                        0                        0                        0
0.00904059842049107       0.06538391726515017      0.009036532261419648     0.009000038793150476     0.00864563528864065      0.006287429659244635     0.0055771379298798435    0.007944300927703653     0.015292882954626696
0                         0.08000000000000003      0                        0                        0                        0                        0                        0                        0
0.008959730214123201      0.07545519435944804      0.008955708041686947     0.008919610536330553     0.008569167994561963     0.006245667250820549     0.005631226843242        0.008360476558986508     0.016973509519069573
0                         0.09000000000000002      0                        0                        0                        0                        0                        0                        0
0.008908233176209689      0.0854889451862134       0.008904244438111828     0.008868448307262411     0.008521059859734727     0.006227232915732134     0.005721129116673313     0.008870450175612436     0.0187267914515214
0                         0.05000000000000001      0                        0                        0                        0                        0                        0                        0
0.009201799503460194      0.05523852160681794      0.009197655346783214     0.00916046076510049      0.008799142361967308     0.006387394775938782     0.005587154722329187     0.007659800927202884     0.013781200837898239
0.008268703117756793      0.03512793965141947      0.008264974365672938     0.008231506581953566     0.007906242402633677     0.0057248609639201295    0.0049074295741019245    0.0063430699808839424    0.009791072779161155
0                         0.040000000000000015     0                        0                        0                        0                        0                        0                        0
0.008981202967126638      0.04510168992781651      0.008977154771744473     0.008940820541031555     0.008587770582477226     0.0062249971596535095    0.005383163564652661     0.007140625944205834     0.011892021444406946
0.017828538372577696      0.010523910235219147     0.01782049618120443      0.01774831031400934      0.017046525774487797     0.01232467664226805      0.010430275928070514     0.01299114178054617      0.017580995344538376
0.0243863778880401        0                        0.024375377765268578     0.02427664118724566      0.023316672545654237     0.01685375472285258      0.014231890238530743     0.01762767381074311      0.023453348392501485
0                         0.10000000000000002      0                        0                        0                        0                        0                        0                        0
0.008765178533827496      0.09547320885738747      0.008761267048359238     0.00872616562763629      0.008385658197804437     0.006147651939850319     0.005768708656851861     0.009343008967529735     0.020246196349267994
0                         0.11000000000000001      0                        0                        0                        0                        0                        0                        0
0.008643892383075212      0.10536842764054737      0.008640051187200378     0.00860558205201837      0.008271356331952652     0.006085861890950786     0.005843993404537292     0.009870847563853395     0.021724485325626836
