% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:41
% Dimension:          2
% Nodes:              4256
% Expressions:        14
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s) @ Ra=1           v (m/s) @ Ra=1           u (m/s) @ Ra=10          v (m/s) @ Ra=10          u (m/s) @ Ra=100         v (m/s) @ Ra=100         u (m/s) @ Ra=1000        v (m/s) @ Ra=1000        u (m/s) @ Ra=10000       v (m/s) @ Ra=10000       u (m/s) @ Ra=1E5         v (m/s) @ Ra=1E5         u (m/s) @ Ra=1E6         v (m/s) @ Ra=1E6
0.0076693196229356        0.02552188231107272      1.371192754109975E-6     -3.3097002489651156E-6   1.3643902875746887E-5    -3.288005199658147E-5    1.2983497511042982E-4    -3.0785281237777617E-4   8.677553470498039E-4     -0.0017875561900155114   0.008641723364259288     -0.021902242792212246    0.1157896404564809       -0.36124820735202756     1.1637693887049598       -4.298471401126958
0                         0.030000000000000013     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.020000000000000007     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.007654035255731745      0.015878464188420722     5.021587222946215E-7     -7.778012476691565E-7    4.981839119459875E-6     -7.693657958914806E-6    4.599125445868771E-5     -6.884612929465129E-5    2.312914906673238E-4     -2.257757331252314E-4    0.0034733039278973424    -0.0058217267929533125   0.06526917206260922      -0.13620846203688639     0.8175556612468559       -1.911020908708929
0                         0.010000000000000004     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.0068668152863041315     0.007607048862261397     2.5666807480448227E-8    6.061993076057937E-8     2.4112272162269696E-7    6.188645796334054E-7     9.329895769564391E-7     7.3838643362613825E-6    -6.679870930848871E-5    1.294157588346542E-4     4.4882204604861054E-4    7.91271596433451E-5      0.02408361442776795      -0.01848215006420508     0.40550483262960507      -0.355086768467503
0.011034260205796675      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.07                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.060000000000000026     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00904059842049107       0.06538391726515017      6.259315036080578E-6     -4.262949139756833E-5    6.242991220214028E-5     -4.248455014680312E-4    6.081552828765845E-4     -0.004106401192586027    0.004825254913152236     -0.030883467041171005    0.03523822480406095      -0.25056443092363384     0.28286851659702034      -2.5155994360315717      1.9240907119494424       -21.01452409293231
0                         0.08000000000000003      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008959730214123201      0.07545519435944804      6.936942097757775E-6     -5.673652889365306E-5    6.920274915140652E-5     -5.655699226993833E-4    6.754926228147761E-4     -0.005479352123155544    0.005432035343212664     -0.041889014580814364    0.03846088013889617      -0.3292169875436832      0.29004860311658787      -3.1203431444562715      1.983672666918299        -25.094752544491197
0                         0.09000000000000002      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008908233176209689      0.0854889451862134       7.335574768901166E-6     -7.238246251185133E-5    7.319170109263837E-5     -7.216730078688279E-4    7.155956745217711E-4     -0.007004965611207239    0.005816870170432981     -0.054258632002518015    0.04011922654090974      -0.4152230771429925      0.2871605822609787       -3.7462842839758177      1.9785162349405176       -29.369870925223832
0                         0.05000000000000001      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
